#0name	1country	2population	3latitude	4degrees	5N-S	6longitude	7degrees	8E-W
Santa's Workshop	North Pole	2	85N	85.0	N	0E	0.0	W	
Vancouver	Canada	2168876	49.28°N	49.28	N	123.13°W	123.13	W
Portland	United States of America	593175	45.54°N	45.54	N	122.66°W	122.66	W
San Francisco	United States of America	811220	37.77°N	37.77	N	122.45°W	122.45	W
Seattle	United States of America	616191	47.62°N	47.62	N	122.35°W	122.35	W
San Jose	United States of America	954927	37.30°N	37.3	N	121.85°W	121.85	W
Fresno	United States of America	507216	36.78°N	36.78	N	119.79°W	119.79	W
Los Angeles	United States of America	3800904	34.11°N	34.11	N	118.41°W	118.41	W
San Diego	United States of America	1320855	32.81°N	32.81	N	117.14°W	117.14	W
Tijuana	Mexico	1343432	32.53°N	32.53	N	117.04°W	117.04	W
Mexicali	Mexico	717618	32.66°N	32.66	N	115.47°W	115.47	W
Las Vegas	United States of America	611534	36.21°N	36.21	N	115.22°W	115.22	W
Calgary	Canada	1117819	51.05°N	51.05	N	114.06°W	114.06	W
Edmonton	Canada	979504	53.57°N	53.57	N	113.54°W	113.54	W
Phoenix	United States of America	1473127	33.54°N	33.54	N	112.07°W	112.07	W
Hermosillo	Mexico	748933	29.10°N	29.1	N	110.95°W	110.95	W
Tucson	United States of America	526803	32.20°N	32.2	N	110.89°W	110.89	W
Culiacan Rosales	Mexico	701437	24.79°N	24.79	N	107.40°W	107.4	W
Albuquerque	United States of America	562758	35.12°N	35.12	N	106.62°W	106.62	W
Juarez	Mexico	1357618	31.74°N	31.74	N	106.49°W	106.49	W
El Paso	United States of America	664065	31.85°N	31.85	N	106.44°W	106.44	W
Chihuahua	Mexico	838277	28.64°N	28.64	N	106.09°W	106.09	W
Denver	United States of America	609730	39.77°N	39.77	N	104.87°W	104.87	W
Victoria de Durango	Mexico	535506	24.02°N	24.02	N	104.65°W	104.65	W
Torreon	Mexico	627273	25.54°N	25.54	N	103.44°W	103.44	W
Zapopan	Mexico	1188808	20.72°N	20.72	N	103.39°W	103.39	W
Guadalajara	Mexico	1465337	20.68°N	20.68	N	103.34°W	103.34	W
Tlaquepaque	Mexico	599475	20.64°N	20.64	N	103.31°W	103.31	W
Aguascalientes	Mexico	748578	21.88°N	21.88	N	102.30°W	102.3	W
Leon de los Aldama	Mexico	1282932	21.12°N	21.12	N	101.68°W	101.68	W
Morelia	Mexico	607462	19.70°N	19.7	N	101.19°W	101.19	W
Saltillo	Mexico	739467	25.43°N	25.43	N	101.00°W	101	W
San Luis Potosi	Mexico	741038	22.15°N	22.15	N	100.98°W	100.98	W
Santiago de Queretaro	Mexico	646803	20.59°N	20.59	N	100.39°W	100.39	W
Monterrey	Mexico	1135466	25.67°N	25.67	N	100.31°W	100.31	W
Guadalupe	Mexico	676825	25.68°N	25.68	N	100.24°W	100.24	W
Ciudad Apodaca	Mexico	516505	25.78°N	25.78	N	100.19°W	100.19	W
Acapulco de Juarez	Mexico	683106	16.86°N	16.86	N	99.89°W	99.89	W
Naucalpan de Juarez	Mexico	784853	19.48°N	19.48	N	99.24°W	99.24	W
Tlalnepantla	Mexico	642724	19.54°N	19.54	N	99.19°W	99.19	W
Ciudad de Mexico	Mexico	8447580	19.36°N	19.36	N	99.09°W	99.09	W
Ecatepec de Morelos	Mexico	1671236	19.61°N	19.61	N	99.06°W	99.06	W
